bundesland,year,solar_privat_y,completions_y,rate_privat_y,time_id
Bayern,2015,11181,23074.0,0.48457137904134523,1
Bayern,2016,11694,21583.0,0.5418153176110828,2
Bayern,2017,15843,25166.0,0.6295398553604069,3
Bayern,2018,17486,24012.0,0.7282192237214726,4
Bayern,2019,24302,23875.0,1.0178848167539267,5
Bayern,2020,41927,25449.0,1.6474910605524775,6
Bayern,2021,48883,22808.0,2.143239214310768,7
Bayern,2022,62952,23261.0,2.7063324878552084,8
Bayern,2023,156494,23459.0,6.67095784134021,9
Bayern,2024,124208,18572.0,6.687917294852466,10
Bayern,2025,80452,15206.0,5.290806260686571,11
Brandenburg,2015,1336,5519.0,0.24207283928247872,1
Brandenburg,2016,1539,6159.0,0.24987822698490014,2
Brandenburg,2017,1876,5643.0,0.3324472798157009,3
Brandenburg,2018,2199,5859.0,0.3753200204813108,4
Brandenburg,2019,3326,5714.0,0.5820791039551978,5
Brandenburg,2020,5381,5545.0,0.9704238052299369,6
Brandenburg,2021,6400,5842.0,1.0955152345087298,7
Brandenburg,2022,10345,5176.0,1.9986476043276662,8
Brandenburg,2023,25026,5517.0,4.53616095704187,9
Brandenburg,2024,19248,4351.0,4.4238106182486785,10
Brandenburg,2025,12443,3154.0,3.945149017121116,11
Bremen,2015,45,566.0,0.07950530035335689,1
Bremen,2016,46,528.0,0.08712121212121213,2
Bremen,2017,50,655.0,0.07633587786259542,3
Bremen,2018,63,479.0,0.1315240083507307,4
Bremen,2019,103,387.0,0.2661498708010336,5
Bremen,2020,241,470.0,0.5127659574468085,6
Bremen,2021,245,298.0,0.8221476510067114,7
Bremen,2022,474,293.0,1.6177474402730376,8
Bremen,2023,1526,248.0,6.153225806451613,9
Bremen,2024,2200,254.0,8.661417322834646,10
Bremen,2025,1525,192.0,7.942708333333333,11
Hamburg,2015,118,1760.0,0.06704545454545455,1
Hamburg,2016,163,1438.0,0.1133518776077886,2
Hamburg,2017,186,1700.0,0.10941176470588235,3
Hamburg,2018,187,1882.0,0.09936238044633369,4
Hamburg,2019,273,1900.0,0.1436842105263158,5
