Postleitzahl,year,bundesland,group,treated,operator_type,anzahl_anlagen,netto_kw,brutto_kw,flaeche_km2,post2023,post2024,post_t1,post_t2,treat_x_t1,treat_x_t2,outcome,treat_x_2015,treat_x_2016,treat_x_2017,treat_x_2018,treat_x_2019,treat_x_2020,treat_x_2021,treat_x_2023,treat_x_2024,treat_x_2025
21029,2015,Hamburg,HH_grenze,1,privat,1.0,6.76,6.76,6.453903,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0
21029,2016,Hamburg,HH_grenze,1,privat,2.0,35.86,36.7,6.453903,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0
21029,2017,Hamburg,HH_grenze,1,privat,4.0,24.6,26.79,6.453903,0,0,0,0,0,0,4.0,0,0,1,0,0,0,0,0,0,0
21029,2018,Hamburg,HH_grenze,1,privat,0.0,0.0,0.0,6.453903,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
21029,2019,Hamburg,HH_grenze,1,privat,3.0,22.2,23.48,6.453903,0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0,0,0
21029,2020,Hamburg,HH_grenze,1,privat,4.0,76.39,93.44,6.453903,0,0,0,0,0,0,4.0,0,0,0,0,0,1,0,0,0,0
21029,2021,Hamburg,HH_grenze,1,privat,7.0,62.14,73.41999999999999,6.453903,0,0,0,0,0,0,7.0,0,0,0,0,0,0,1,0,0,0
21029,2022,Hamburg,HH_grenze,1,privat,11.0,87.13,96.41,6.453903,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0
21029,2023,Hamburg,HH_grenze,1,privat,34.0,290.786,343.585,6.453903,1,0,1,0,1,0,34.0,0,0,0,0,0,0,0,1,0,0
21029,2024,Hamburg,HH_grenze,1,privat,43.0,327.066,357.255,6.453903,1,1,1,1,1,1,43.0,0,0,0,0,0,0,0,0,1,0
21029,2025,Hamburg,HH_grenze,1,privat,24.0,201.78,229.195,6.453903,1,1,1,1,1,1,24.0,0,0,0,0,0,0,0,0,0,1
21031,2015,Hamburg,HH_grenze,1,privat,2.0,16.18,16.18,5.545359,0,0,0,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0
21031,2016,Hamburg,HH_grenze,1,privat,2.0,11.61,11.89,5.545359,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0
21031,2017,Hamburg,HH_grenze,1,privat,1.0,5.5,5.7,5.545359,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0,0
21031,2018,Hamburg,HH_grenze,1,privat,0.0,0.0,0.0,5.545359,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
21031,2019,Hamburg,HH_grenze,1,privat,3.0,35.32,39.9,5.545359,0,0,0,0,0,0,3.0,0,0,0,0,1,0,0,0,0,0
21031,2020,Hamburg,HH_grenze,1,privat,6.0,41.94,45.370000000000005,5.545359,0,0,0,0,0,0,6.0,0,0,0,0,0,1,0,0,0,0
21031,2021,Hamburg,HH_grenze,1,privat,6.0,58.59,64.86,5.545359,0,0,0,0,0,0,6.0,0,0,0,0,0,0,1,0,0,0
21031,2022,Hamburg,HH_grenze,1,privat,14.0,131.6,148.01,5.545359,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0
21031,2023,Hamburg,HH_grenze,1,privat,33.0,253.2,291.08,5.545359,1,0,1,0,1,0,33.0,0,0,0,0,0,0,0,1,0,0
21031,2024,Hamburg,HH_grenze,1,privat,33.0,272.615,302.625,5.545359,1,1,1,1,1,1,33.0,0,0,0,0,0,0,0,0,1,0
21031,2025,Hamburg,HH_grenze,1,privat,28.0,204.23,231.31,5.545359,1,1,1,1,1,1,28.0,0,0,0,0,0,0,0,0,0,1
21037,2015,Hamburg,HH_grenze,1,privat,5.0,30.67,32.47,74.305658,0,0,0,0,0,0,5.0,1,0,0,0,0,0,0,0,0,0
