"Statistikamt Nord; ";;;;;;;;;;;;;;;;13.03.26
"311-1; Kue.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
31121  Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;
31121HOJ75 Baufertigstellungen im Wohn- und Nichtwohnbau, Neubauten - HH (2010-2024);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Bezirk;Stadtteil;Anzahl fertiggestellter Wohn- und Nichtwohngebäude im Neubau nach Jahren 2010-2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
1 Hamburg-Mitte;101 Hamburg-Altstadt;;3;;4;3;5;5;3;;;3;;2;;4
1 Hamburg-Mitte;102 HafenCity;15;3;2;5;2;38;8;10;17;6;8;21;9;11;29
1 Hamburg-Mitte;103 Neustadt;2;3;8;1;2;7;1;4;3;2;4;1;1;2;
1 Hamburg-Mitte;104 St. Pauli;2;2;6;5;1;6;3;10;2;5;2;3;1;3;2
1 Hamburg-Mitte;105 St. Georg;16;2;5;8;4;15;1;4;10;7;1;7;1;1;1
1 Hamburg-Mitte;106 Hammerbrook;;2;4;3;3;4;7;10;2;12;3;4;10;;3
1 Hamburg-Mitte;107 Borgfelde;;;;2;;2;4;12;;9;3;1;4;1;
1 Hamburg-Mitte;108 Hamm (-Nord);7;2;;6;12;3;7;5;3;5;9;1;2;1;1
1 Hamburg-Mitte;111 Horn;2;;;4;2;5;2;10;10;16;25;8;12;5;
1 Hamburg-Mitte;112 Billstedt;14;44;61;75;82;98;39;32;17;54;57;23;51;97;115
1 Hamburg-Mitte;113 Billbrook;;1;;1;4;2;6;4;3;2;1;2;2;;4
1 Hamburg-Mitte;114 Rothenburgsort;4;2;3;6;;;3;4;7;4;2;8;;4;9
1 Hamburg-Mitte;115 Veddel;7;2;4;7;3;1;1;2;3;1;4;1;;3;3
1 Hamburg-Mitte;116 Wilhelmsburg;36;36;24;49;27;30;23;23;22;23;13;9;42;26;16
1 Hamburg-Mitte;117 Kleiner Grasbrook;;;;3;1;;;;;1;;;1;;1
1 Hamburg-Mitte;118 Steinwerder;5;1;;2;;3;1;3;;1;1;1;;1;
1 Hamburg-Mitte;119 Waltershof;1;2;1;3;;;3;3;2;;;;1;1;
1 Hamburg-Mitte;120 Finkenwerder;4;16;3;4;;8;6;;3;15;9;1;4;1;2
1 Hamburg-Mitte;Gesamtsumme;115;121;121;188;146;227;120;139;104;163;145;91;143;157;190
2 Altona;201 Altona-Altstadt;4;23;9;9;9;8;5;12;8;4;6;;6;1;
2 Altona;202 Sternschanze;;3;1;;1;2;;;3;1;;2;2;;1
2 Altona;203 Altona-Nord;1;4;2;;1;2;8;12;36;18;21;3;5;;2
2 Altona;204 Ottensen;4;16;11;35;15;4;5;17;5;4;6;6;7;13;22
2 Altona;205 Bahrenfeld;18;11;12;10;20;25;22;16;11;37;11;20;13;6;13
2 Altona;206 Groß Flottbek;5;8;5;21;9;5;9;11;5;11;13;12;16;6;7
2 Altona;207 Othmarschen;44;9;20;14;30;27;9;13;17;17;15;10;19;7;4
2 Altona;208 Lurup;40;26;33;52;29;44;26;30;61;42;35;58;69;19;20
2 Altona;209 Osdorf;15;17;34;49;23;8;12;22;21;24;23;6;35;12;11
2 Altona;210 Nienstedten;5;17;8;6;8;8;8;15;7;4;5;3;6;8;11
2 Altona;211 Blankenese;12;25;26;26;21;15;21;19;21;33;5;17;15;12;12
2 Altona;212 Iserbrook;16;23;5;27;12;21;13;15;29;11;16;12;14;14;2
2 Altona;213 Sülldorf;21;11;20;17;3;27;1;44;12;6;9;4;8;8;9
2 Altona;214 Rissen;15;23;23;56;26;23;26;30;36;28;35;26;17;24;9
2 Altona;Gesamtsumme;200;216;209;322;207;219;165;256;272;240;200;179;232;130;123
3 Eimsbüttel;301 Eimsbüttel;22;10;7;12;9;21;2;8;5;3;8;2;10;2;5
3 Eimsbüttel;302 Rotherbaum;;1;;4;3;7;8;6;3;5;6;2;9;4;1
3 Eimsbüttel;303 Harvestehude;;10;4;25;4;1;;1;5;;1;1;1;3;
3 Eimsbüttel;304 Hoheluft-West;;8;;;;1;5;9;;2;3;1;1;1;
3 Eimsbüttel;305 Lokstedt;15;47;12;52;28;12;7;18;27;41;43;7;22;8;9
3 Eimsbüttel;306 Niendorf;45;56;54;74;46;63;68;52;65;54;30;33;64;36;25
3 Eimsbüttel;307 Schnelsen;32;51;38;50;97;47;38;75;63;37;35;33;47;35;29
3 Eimsbüttel;308 Eidelstedt;29;39;12;26;35;50;27;34;32;12;44;17;17;20;16
