"Statistikamt Nord; ";;;;;;;;;;;;;;;;13.03.26
"311-1; Kue.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
31121  Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;
31121SGJ55 Baufertigstellungen im Wohn- und Nichtwohnbau, Neubauten - SH (2010-2024);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Kreis;Gemeinde;Anzahl fertiggestellter Wohn- und Nichtwohngebäude im Neubau nach Jahren 2010-2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
01001 Flensburg;01001000 Flensburg, Stadt;120;121;152;152;102;131;125;76;260;78;121;69;66;60;74
01001 Flensburg;Gesamtsumme;120;121;152;152;102;131;125;76;260;78;121;69;66;60;74
01002 Kiel;01002000 Kiel, Landesh.-stadt;123;254;205;125;129;245;133;131;97;116;87;115;66;91;88
01002 Kiel;Gesamtsumme;123;254;205;125;129;245;133;131;97;116;87;115;66;91;88
01003 Lübeck;01003000 Lübeck, Hansestadt;221;220;245;59;339;56;312;170;128;170;309;289;224;212;139
01003 Lübeck;Gesamtsumme;221;220;245;59;339;56;312;170;128;170;309;289;224;212;139
01004 Neumünster;01004000 Neumünster, Stadt;63;83;79;69;59;69;72;82;65;70;114;87;64;66;85
01004 Neumünster;Gesamtsumme;63;83;79;69;59;69;72;82;65;70;114;87;64;66;85
01051 Dithmarschen;01051001 Albersdorf;11;4;6;3;11;19;10;6;4;9;9;9;12;16;5
01051 Dithmarschen;01051002 Arkebek;2;1;2;;1;1;;;1;1;;;;;
01051 Dithmarschen;01051003 Averlak;1;2;;1;;;1;;1;1;1;1;10;2;1
01051 Dithmarschen;01051004 Bargenstedt;8;6;5;8;2;5;4;2;3;9;1;5;3;9;4
01051 Dithmarschen;01051005 Barkenholm;;;;;;;;;;1;;1;2;;
01051 Dithmarschen;01051006 Barlt;6;3;2;;3;1;4;4;;;2;3;4;2;2
01051 Dithmarschen;01051008 Bergewöhrden;;2;;;;;2;1;;1;1;;1;;
01051 Dithmarschen;01051010 Brickeln;2;2;;2;;;;;;1;;1;;;1
01051 Dithmarschen;01051011 Brunsbüttel, Stadt;13;20;17;24;22;14;14;21;21;15;20;19;30;16;18
01051 Dithmarschen;01051012 Buchholz;3;4;3;4;2;4;;2;4;3;6;1;3;2;11
01051 Dithmarschen;01051013 Büsum;22;19;22;20;23;14;32;22;23;24;30;33;69;54;10
01051 Dithmarschen;01051014 Büsumer Deichhausen;;1;1;3;1;1;;1;1;;;3;2;;1
01051 Dithmarschen;01051015 Bunsoh;1;3;;1;2;1;3;2;1;1;1;;10;2;
01051 Dithmarschen;01051016 Burg (Dithmarschen);8;13;11;9;2;5;11;13;10;7;21;8;7;5;2
01051 Dithmarschen;01051017 Busenwurth;;2;2;2;2;;2;1;1;;2;2;2;;
01051 Dithmarschen;01051019 Dellstedt;3;3;;5;3;4;4;1;3;1;1;8;1;1;6
01051 Dithmarschen;01051020 Delve;5;3;1;1;;;;3;;4;5;9;1;1;2
01051 Dithmarschen;01051021 Diekhusen-Fahrstedt;4;4;;1;;2;2;;2;1;3;3;1;2;
01051 Dithmarschen;01051022 Dingen;3;;2;2;2;3;1;7;1;3;7;2;1;1;2
01051 Dithmarschen;01051023 Dörpling;4;;1;1;1;2;1;4;3;2;4;3;2;4;1
01051 Dithmarschen;01051024 Eddelak;9;3;1;1;2;2;3;4;3;5;3;7;4;1;1
01051 Dithmarschen;01051026 Eggstedt;2;1;5;1;1;3;4;;;1;7;2;3;2;5
01051 Dithmarschen;01051027 Elpersbüttel;12;6;;5;4;2;2;3;8;5;3;9;11;;
01051 Dithmarschen;01051028 Epenwöhrden;6;2;5;2;4;3;3;1;1;4;2;3;1;1;1
01051 Dithmarschen;01051030 Fedderingen;1;;2;4;;4;1;;1;1;;1;;;3
01051 Dithmarschen;01051032 Frestedt;2;;;;;1;;1;2;1;3;2;3;1;1
01051 Dithmarschen;01051033 Friedrichsgabekoog;2;;1;1;;;;;1;2;;2;;;
01051 Dithmarschen;01051034 Friedrichskoog;11;16;17;7;5;4;7;8;4;11;5;8;3;5;7
01051 Dithmarschen;01051035 Gaushorn;;;;1;1;;;;1;1;;1;;;
01051 Dithmarschen;01051036 Glüsing;2;;2;1;;;;;2;;;;;;1
01051 Dithmarschen;01051037 Großenrade;3;;1;1;1;3;1;2;;1;1;1;;;
01051 Dithmarschen;01051038 Groven;7;;;1;;1;;;1;;1;;;;
01051 Dithmarschen;01051039 Gudendorf;1;;;;1;2;;3;4;1;2;2;2;4;1
01051 Dithmarschen;01051043 Hedwigenkoog;;3;;1;5;3;3;3;;1;;3;2;;
01051 Dithmarschen;01051044 Heide, Stadt;32;39;32;17;33;31;45;9;30;22;58;50;20;40;24
01051 Dithmarschen;01051045 Hellsch.-H.sand-Unt.;4;1;2;;;2;;2;2;1;;;1;;
01051 Dithmarschen;01051046 Helse;2;3;2;3;2;3;3;;3;1;2;2;11;12;8
01051 Dithmarschen;01051047 Hemme;3;1;;;1;2;;1;;;1;;5;2;1
01051 Dithmarschen;01051048 Hemmingstedt;4;10;5;3;10;9;5;7;13;23;11;11;6;3;6
01051 Dithmarschen;01051049 Hennstedt;3;4;3;8;15;13;1;7;8;8;19;10;14;7;13
01051 Dithmarschen;01051050 Hillgroven;1;1;;1;1;1;;;;;;;1;;
01051 Dithmarschen;01051051 Hochdonn;2;3;;6;3;2;2;1;1;2;4;7;2;;6
01051 Dithmarschen;01051052 Hövede;1;;;1;;;1;;;;;;;;
01051 Dithmarschen;01051053 Hollingstedt;1;;;1;1;;;1;2;;;2;1;1;1
01051 Dithmarschen;01051054 Immenstedt;;3;1;2;;;;1;;;;1;1;;
01051 Dithmarschen;01051057 Kaiser-Wilhelm-Koog;8;4;1;1;1;1;3;;;2;1;2;;2;
01051 Dithmarschen;01051058 Karolinenkoog;6;1;;;1;;;;;;;3;4;1;
01051 Dithmarschen;01051060 Kleve;4;;1;2;;2;1;1;1;3;1;1;1;1;1
01051 Dithmarschen;01051061 Krempel;1;2;;;;;1;1;2;1;;3;2;;1
01051 Dithmarschen;01051062 Kronprinzenkoog;6;8;1;6;;6;1;1;2;4;8;2;4;6;3
01051 Dithmarschen;01051063 Krumstedt;4;3;6;1;1;2;2;;;4;3;;2;7;5
01051 Dithmarschen;01051064 Kuden;2;3;1;2;2;1;;1;2;2;1;4;4;3;
01051 Dithmarschen;01051065 Lehe;4;1;6;1;1;1;1;4;2;7;8;4;3;2;1
01051 Dithmarschen;01051067 Lieth;;1;3;1;;1;2;1;1;1;1;;;1;
01051 Dithmarschen;01051068 Linden;6;3;2;;5;2;3;7;3;;3;1;;2;2
01051 Dithmarschen;01051069 Lohe-Rickelshof;;10;7;12;11;9;6;8;5;5;6;3;8;1;11
01051 Dithmarschen;01051071 Lunden;1;3;;5;;2;;4;1;1;4;6;2;6;8
01051 Dithmarschen;01051072 Marne, Stadt;8;3;4;10;10;14;7;11;6;18;12;10;9;4;2
01051 Dithmarschen;01051073 Marnerdeich;;;;1;;2;;;;1;;;1;2;
01051 Dithmarschen;01051074 Meldorf, Stadt;10;9;21;3;16;9;13;8;3;17;22;19;21;10;7
01051 Dithmarschen;01051075 Neuenkirchen;2;6;;;3;1;2;1;1;6;4;3;4;14;3
01051 Dithmarschen;01051076 Neufeld;8;3;1;2;;4;;2;3;2;5;3;;1;2
01051 Dithmarschen;01051077 Neufelderkoog;8;;1;;1;;;;;;;;;;5
