OBJECTID,Postleitzahl,note,Einwohner:Innen,Gebietgröße in km²,Shape__Area,Shape__Length
1,64743,"Situation unklar, evtl. haben die Häuser Marbach 2 und 6 auch diese PLZ. Das ganze sieht aus wie ein Versäumnis der Post.",3,0.082066,195369.744628906,2526.56032777865
2,81248,81248 München,121,1.984763,4455346.46240234,9358.74900572957
3,60315,60315 Frankfurt am Main (FOUR),0,0.017285,42014.8110351563,868.309237733258
4,99331,99331 Geratal,4523,20.20708,50352702.0405273,46803.682059089
5,60312,60312 Frankfurt am Main (Omniturm),0,0.001829,4446.4013671875,267.065318286679
6,98694,98694 Ilmenau,7028,80.375011,199537109.212402,122071.026514065
7,39628,39628 Bismark,3147,125.13593,339071239.369141,109766.577330274
8,64760,64760 Oberzent,10503,165.476886,393053500.438477,137172.27415591
9,35647,35647 Waldsolms,4855,44.716972,110165395.299805,73083.244852594
10,31195,31195 Lamspringe,5876,70.492464,185587953.728027,93723.7557809652
11,31084,31084 Freden (Leine),4892,53.219498,139853219.684082,70285.6627972555
12,27639,27639 Wurster Nordseeküste,17093,179.92406,513231546.533691,126536.480850535
13,99707,99707 Kyffhäuserland,4281,128.579234,329481337.322266,138016.867955432
14,25867,25867 Oland,21,2.127616,6356305.07373047,14373.6105755191
15,82475,82475 Garmisch-Partenkirchen (Schneefernerhaus),0,6.47488,14133284.543457,16447.4809561661
16,47051,47051 Duisburg,13928,2.389929,6140977.00048828,13671.4067936774
17,24367,24367 Osterby,940,9.830657,29037790.3979492,28781.2922597957
18,60306,"60306 Frankfurt am Main, Opernturm",0,0.005761,14005.0053710938,510.604445250524
19,49849,49849 Wilsum,1647,47.164155,127325252.672852,44335.6245432514
20,04862,04862 Mockrehna,5193,114.597391,295140073.179688,90541.4385602417
21,38550,38550 Isenbüttel,6309,18.775497,50471691.6235352,35954.9083654409
22,09634,09634 Reinsberg,602,7.787529,19638434.0957031,23097.1529538087
23,16552,16552 Schildow,6103,6.603192,17876261.9238281,26025.9986510075
24,48308,48308 Senden,20007,109.381671,286497526.53125,122065.573272732
25,48249,48249 Dülmen,46529,185.183014,484698115.740723,128694.798781074
26,48324,48324 Sendenhorst,12877,96.863681,253645983.813477,89740.8288722812
27,48317,48317 Drensteinfurt,15215,106.527946,278304194.797852,106581.90431026
28,59387,59387 Ascheberg,15141,106.308123,277378044.197266,96300.953130168
29,59394,59394 Nordkirchen,9694,52.289388,136172085.333496,65221.3014156508
30,59368,59368 Werne,29659,76.104433,197743889.09082,85110.0832071749
31,59348,59348 Lüdinghausen,23656,140.482355,366534156.952148,113255.103226402
32,59399,59399 Olfen,12101,52.378119,136244738.183105,68747.1257365373
33,59379,59379 Selm,26074,60.395799,156957853.057129,79645.242190521
34,45731,45731 Waltrop,28981,47.077308,122016496.638184,69135.6680388107
35,45739,45739 Oer-Erkenschwick,30941,38.668891,100383388.583008,56003.5259614173
36,45721,45721 Haltern am See,37318,158.51105,413141389.405273,119264.565597927
37,45711,45711 Datteln,34509,66.084093,171598841.40625,91209.560202738
38,99819,"99819 Marksuhl, Krauthausen u.a.",1609,18.342483,46323512.7084961,46518.8939236144
39,32791,32791 Lage,34903,75.977555,200126127.080566,100240.964333004
40,32699,32699 Extertal,11948,92.419428,244621049.564453,99132.8223261103
41,32694,32694 Dörentrup,8229,49.756024,131359557.368164,69065.2534120352
42,32689,32689 Kalletal,14299,112.229369,297457617.814453,103020.515843546
43,32657,32657 Lemgo,41112,100.777711,266058416.203125,117212.719877158
44,46348,46348 Raesfeld,11178,57.944146,151091970.310059,61903.2465586605
45,37696,37696 Marienmünster,5380,63.371221,165754794.71875,69289.981378416
46,49610,49610 Quakenbrück,12196,18.804853,51099599.418457,42164.1424752269
47,37688,37688 Beverungen,13873,97.91499,254348984.609863,105839.173341335
48,37671,37671 Höxter,30209,158.017775,412627783.256836,136158.793696172
49,34439,34439 Willebadessen,8450,128.312167,332392730.847168,117825.672152523
50,34434,34434 Borgentreich,9144,138.818119,359163635.884277,126132.454810433
51,34414,34414 Warburg,23596,168.6786,435223484.271973,143124.944036105
52,32825,32825 Blomberg,15791,99.003681,260439355.159668,111801.673395323
53,32816,32816 Schieder-Schwalenberg,8976,59.997222,157472227.626465,91442.2270931731
54,32676,32676 Lügde,10240,88.47913,232322691.802734,93644.854556081
55,46499,46499 Hamminkeln,26485,164.49477,428560432.571289,121457.050589377
56,47053,47053 Duisburg,24646,5.556753,14270510.1591797,16448.3223670435
57,49699,49699 Lindern (Oldenburg),4713,65.814099,180113329.877441,59466.4866698219
58,49696,49696 Molbergen,7729,102.485984,281018023.382813,89509.6187105545
59,49692,49692 Cappeln (Oldenburg),6881,76.328211,208483718.302734,79313.7751431966
60,24988,24988 Oeversee,3350,36.491463,109166268.15918,52394.4494238682
61,49688,49688 Lastrup,6743,85.513095,233591514.251465,71838.9183290075
62,49685,49685 Emstek,11393,108.512532,297276212.467773,90985.5873352459
63,49681,49681 Garrel,14097,113.692614,312811728.322266,92907.5868748301
64,49661,49661 Cloppenburg,32984,70.812364,194006666.052246,81934.990193339
65,49635,49635 Badbergen,4516,78.034272,211660131.330566,86430.0246652345
66,38530,38530 Didderse,1336,7.419535,19893345.9462891,22552.4070376571
67,49632,49632 Essen (Oldenburg),8314,98.102227,267179004.532227,87220.9916219862
68,49456,49456 Bakum,5912,78.743314,214537074.850586,81532.9457003236
69,49439,49439 Steinfeld,9618,60.011995,162472331.884766,85478.0040114356
70,49429,49429 Visbek,9316,84.102629,230170237.381836,78102.7200981801
71,49424,49424 Goldenstedt,9255,88.884021,242581791.97168,79770.2182614327
72,49413,49413 Dinklage,12662,72.637339,197239536.211426,80221.7534332578
73,49401,49401 Damme,16297,103.609817,279639564.050293,80496.7544824219
74,49638,49638 Nortrup,2967,27.299103,73979565.4101563,44180.9495534625
75,29579,29579 Emmendorf,757,10.9784,30312679.4018555,29098.3923201984
76,49637,49637 Menslage,2529,65.052833,176721823.885742,76253.8126800554
77,49624,49624 Löningen,13094,143.623444,391336991.14209,109063.957792319
78,49393,49393 Lohne,24884,91.089153,247357207.699707,112855.943344865
79,49377,49377 Vechta,30373,87.793149,239279446.033203,87259.3112956941
80,49596,49596 Gehrde,2526,36.447477,98592682.7036133,46866.256343321
81,49593,49593 Bersenbrück,7845,42.453246,114764683.10498,61376.8774405246
82,21737,21737 Wischhafen,3088,27.238753,77876949.4555664,46893.9342129254
83,49451,49451 Holdorf,6549,54.943492,148594686.614746,69417.0489297839
84,49434,49434 Neuenkirchen-Vörden,7886,91.756855,247314907.609863,94987.8711030469
85,49846,49846 Hoogstede,2896,49.649805,134269797.160645,58202.8263772627
86,49844,49844 Bawinkel,2337,20.410246,55234011.1274414,43218.69777743
87,49774,49774 Lähden,4722,79.82878,217649621.31543,75645.1255978479
88,21729,21729 Freiburg (Elbe),1904,26.34517,75533019.6972656,36432.0492743021
89,24887,"24887 Silberstedt, Schwittschau",2182,37.954121,112594837.265625,89695.1430104999
90,38473,38473 Tiddische,1260,16.370817,44139855.5527344,32888.6305222967
91,24885,24885 Sieverstedt,1677,31.061068,92617379.7788086,46739.7405906817
92,38476,38476 Barwedel,1021,19.828737,53521876.5795898,40854.3308814975
93,24882,"24882 Schaalby, Geelbek",1694,24.304851,72109139.8911133,42908.1341323225
94,24881,24881 Nübel,1358,18.660992,55426778.3056641,44424.7426533131
95,24876,24876 Hollingstedt,1051,17.704567,52346904.815918,35603.195467878
96,24873,24873 Havetoft,925,14.452156,43125953.6118164,40730.1397631546
97,24870,24870 Ellingstedt,810,21.30674,63028635.5195313,40621.1696341884
98,24869,24869 Dörpstedt,552,16.661396,49178312.6049805,34328.6340115999
99,24867,24867 Dannewerk,1121,16.476802,48737188.3515625,38974.5126153901
100,38556,38556 Bokensdorf,971,14.475593,39015451.6005859,30602.2758937804
101,24866,24866 Busdorf,2074,5.275558,15614304.9267578,22707.2271917269
102,38553,38553 Wasbüttel,1881,6.620196,17771729.1826172,18774.5513522078
103,37649,37649 Heinsen,852,18.668927,48933814.2617188,34118.1054518781
104,32683,32683 Barntrup,9054,59.480536,156837266.818359,72220.2773936372
105,38474,38474 Tülau,1530,23.523087,63621833.1455078,39587.6399173605
106,38471,38471 Rühen,4858,31.073448,83693823.2988281,52341.0888941699
107,38557,38557 Osloß,1899,7.71106,20757626.3076172,21797.0617004899
108,38554,38554 Weyhausen,2533,7.969604,21442310.5639648,28475.1076108149
109,38479,38479 Tappenbeck,1366,5.168316,13914409.8647461,21925.9122030207
110,38477,38477 Jembke,1872,14.610358,39381451.6396484,31936.2884292656
111,38547,38547 Calberlah,5073,27.616596,74162750.331543,66736.0767392714
112,38531,38531 Rötgesbüttel,2257,10.908152,29279311.8051758,35128.0956094598
113,38524,38524 Sassenburg,10848,88.444184,238713819.473145,90337.4918416796
114,48499,48499 Salzbergen,7578,53.444756,142871603.522461,57327.5187320754
115,48488,48488 Emsbüren,9780,140.053924,375754972.573242,99119.2437983095
116,48493,48493 Wettringen,7833,57.712513,153663159.375977,69224.3249653623
117,48607,48607 Ochtrup,18941,105.709632,281219506.39209,76487.5666251858
118,48455,48455 Bad Bentheim,15142,100.009765,267036554.688965,89796.5596948536
119,48599,48599 Gronau,45509,78.802458,209405917.771973,65648.1269160399
120,48691,48691 Vreden,22428,135.685465,358475653.105469,91342.7078721555
121,48703,48703 Stadtlohn,20192,79.168915,208614190.875977,71186.6803247105
122,48683,48683 Ahaus,38426,151.505781,400937293.806152,97831.2915513756
123,48619,48619 Heek,8382,69.248186,183521307.010254,70638.5518310062
124,47279,47279 Duisburg,8392,5.854311,15012363.6542969,20884.9884924139
125,48739,48739 Legden,6970,56.115157,148166773.92041,58108.7534437926
126,48629,48629 Metelen,6409,40.260392,106793205.97998,47302.4616641804
127,48624,48624 Schöppingen,6883,68.684414,181680609.441406,66979.6260077557
128,48612,48612 Horstmar,6521,44.729859,118396584.688477,57953.4347091165
129,48366,48366 Laer,6495,35.235612,93099092.1757813,57668.640230427
130,48565,48565 Steinfurt,33455,111.629882,296081761.102539,77162.2154202162
131,48356,48356 Nordwalde,9403,51.540362,136438226.913574,59865.5672360596
132,48341,48341 Altenberge,10043,63.004514,166327156.024902,74831.1348745993
133,48329,48329 Havixbeck,11568,53.238517,140143087.525879,60076.193071141
134,48720,48720 Rosendahl,10592,94.709919,249728718.138672,103498.876066412
135,48727,48727 Billerbeck,11537,91.233981,240312025.351563,97779.6497488412
136,48653,48653 Coesfeld,35880,141.159685,370604653.931641,94649.2626565059
137,48301,48301 Nottuln,19226,85.652051,224937567.697266,85930.3276293387
138,48712,48712 Gescher,16936,80.772986,212329671.019531,77217.5963105765
139,48734,48734 Reken,14338,78.731434,205838467.476074,72646.5798605275
140,46342,46342 Velen,13020,70.841774,185806432.558105,72622.6174438295
141,46359,46359 Heiden,8111,53.295505,139341327.32959,59071.8273356747
142,46354,46354 Südlohn,8834,45.223629,118862817.327637,68278.2281228402
143,46325,46325 Borken,41748,153.197481,400990159.893066,119426.240562889
144,46414,46414 Rhede,19149,78.880852,206255255.442383,84863.358005499
145,32839,32839 Steinheim,13157,75.649569,198086440.25,114142.827510814
146,32832,32832 Augustdorf,9666,42.033404,110319550.854492,53211.6414218233
147,32805,32805 Horn-Bad Meinberg,17412,90.053131,236027215.519043,122354.023493003
148,38551,38551 Ribbesbüttel,2092,24.67408,66293465.2802734,52208.6861501227
149,38543,38543 Hillerse,2524,24.127647,64793035.4609375,49514.796028301
150,38542,38542 Leiferde,4355,28.147315,75687955.8061523,69399.9905006285
151,38536,38536 Meinersen,8270,53.816212,144911973.935059,85991.8949030288
152,46514,46514 Schermbeck,13382,110.681773,287764849.034668,106014.306608086
153,46569,46569 Hünxe,13763,106.837903,277059364.366699,96651.4255369031
