bundesland,year,completions_wohngebaeude,completions_nichtwohn,completions_gesamt
Baden-Württemberg,2015,15367,3433,18800
Baden-Württemberg,2016,14454,3172,17626
Baden-Württemberg,2017,14173,3093,17266
Baden-Württemberg,2018,14241,3898,18139
Baden-Württemberg,2019,13730,3243,16973
Baden-Württemberg,2020,14919,3262,18181
Baden-Württemberg,2021,13675,3049,16724
Baden-Württemberg,2022,13794,2806,16600
Baden-Württemberg,2023,13523,2700,16223
Baden-Württemberg,2024,10820,2859,13679
Baden-Württemberg,2025,7970,2529,10499
Bayern,2015,23074,7695,30769
Bayern,2016,21583,6904,28487
Bayern,2017,25166,7240,32406
Bayern,2018,24012,7044,31056
Bayern,2019,23875,6575,30450
Bayern,2020,25449,6893,32342
Bayern,2021,22808,6477,29285
Bayern,2022,23261,6522,29783
Bayern,2023,23459,6218,29677
Bayern,2024,18572,5901,24473
Bayern,2025,15206,5786,20992
Berlin,2015,2011,208,2219
Berlin,2016,2217,229,2446
Berlin,2017,1943,203,2146
Berlin,2018,2101,225,2326
Berlin,2019,2144,214,2358
Berlin,2020,1589,155,1744
Berlin,2021,1868,182,2050
Berlin,2022,1570,187,1757
Berlin,2023,1436,201,1637
Berlin,2024,1555,173,1728
Berlin,2025,1155,168,1323
Brandenburg,2015,5519,642,6161
Brandenburg,2016,6159,622,6781
Brandenburg,2017,5643,671,6314
Brandenburg,2018,5859,610,6469
Brandenburg,2019,5714,578,6292
Brandenburg,2020,5545,575,6120
Brandenburg,2021,5842,563,6405
Brandenburg,2022,5176,622,5798
Brandenburg,2023,5517,648,6165
Brandenburg,2024,4351,577,4928
Brandenburg,2025,3154,515,3669
Bremen,2015,566,102,668
Bremen,2016,528,121,649
Bremen,2017,655,115,770
Bremen,2018,479,109,588
Bremen,2019,387,117,504
Bremen,2020,470,108,578
Bremen,2021,298,83,381
Bremen,2022,293,83,376
Bremen,2023,248,87,335
Bremen,2024,254,105,359
Bremen,2025,192,87,279
Hamburg,2015,1760,111,1871
Hamburg,2016,1438,117,1555
Hamburg,2017,1700,130,1830
Hamburg,2018,1882,120,2002
Hamburg,2019,1900,112,2012
Hamburg,2020,1624,105,1729
Hamburg,2021,1332,78,1410
Hamburg,2022,1476,98,1574
Hamburg,2023,1092,72,1164
Hamburg,2024,966,78,1044
Hamburg,2025,709,59,768
Hessen,2015,5853,1288,7141
Hessen,2016,6425,1282,7707
Hessen,2017,6838,1310,8148
Hessen,2018,6147,1288,7435
Hessen,2019,6166,1295,7461
Hessen,2020,6713,1403,8116
Hessen,2021,6273,1300,7573
Hessen,2022,6539,1299,7838
Hessen,2023,5900,1229,7129
Hessen,2024,4638,1290,5928
Hessen,2025,3423,1039,4462
Mecklenburg-Vorpommern,2015,2372,535,2907
Mecklenburg-Vorpommern,2016,2392,454,2846
Mecklenburg-Vorpommern,2017,2305,482,2787
Mecklenburg-Vorpommern,2018,2528,488,3016
Mecklenburg-Vorpommern,2019,2445,461,2906
Mecklenburg-Vorpommern,2020,3449,515,3964
Mecklenburg-Vorpommern,2021,1976,406,2382
Mecklenburg-Vorpommern,2022,2273,432,2705
Mecklenburg-Vorpommern,2023,2058,381,2439
Mecklenburg-Vorpommern,2024,1954,544,2498
Mecklenburg-Vorpommern,2025,1350,401,1751
Niedersachsen,2015,13552,3019,16571
Niedersachsen,2016,15355,3269,18624
Niedersachsen,2017,13937,2763,16700
Niedersachsen,2018,13522,2876,16398
Niedersachsen,2019,14028,2859,16887
Niedersachsen,2020,14728,3097,17825
Niedersachsen,2021,13719,2988,16707
Niedersachsen,2022,14202,3196,17398
Niedersachsen,2023,11111,2896,14007
Niedersachsen,2024,8738,2994,11732
Niedersachsen,2025,6840,2386,9226
Nordrhein-Westfalen,2015,16686,3024,19710
Nordrhein-Westfalen,2016,17415,3160,20575
Nordrhein-Westfalen,2017,17266,2863,20129
Nordrhein-Westfalen,2018,16536,2784,19320
Nordrhein-Westfalen,2019,17389,3102,20491
Nordrhein-Westfalen,2020,17021,3019,20040
Nordrhein-Westfalen,2021,16019,2768,18787
Nordrhein-Westfalen,2022,15344,2418,17762
Nordrhein-Westfalen,2023,14143,2630,16773
Nordrhein-Westfalen,2024,10901,2533,13434
Nordrhein-Westfalen,2025,9301,2566,11867
Rheinland-Pfalz,2015,5550,1312,6862
Rheinland-Pfalz,2016,5935,1316,7251
Rheinland-Pfalz,2017,5894,1283,7177
Rheinland-Pfalz,2018,6387,1425,7812
Rheinland-Pfalz,2019,5893,1322,7215
Rheinland-Pfalz,2020,6041,1158,7199
Rheinland-Pfalz,2021,5582,1117,6699
Rheinland-Pfalz,2022,5611,1083,6694
Rheinland-Pfalz,2023,5487,1262,6749
Rheinland-Pfalz,2024,3987,988,4975
Rheinland-Pfalz,2025,2822,1021,3843
Saarland,2015,779,264,1043
Saarland,2016,864,321,1185
Saarland,2017,862,384,1246
Saarland,2018,792,310,1102
Saarland,2019,937,420,1357
Saarland,2020,879,311,1190
Saarland,2021,836,301,1137
Saarland,2022,890,337,1227
Saarland,2023,783,318,1101
Saarland,2024,516,230,746
Saarland,2025,297,188,485
Sachsen,2015,3287,1080,4367
Sachsen,2016,4301,1186,5487
Sachsen,2017,3591,1063,4654
Sachsen,2018,3642,1094,4736
Sachsen,2019,3907,1305,5212
Sachsen,2020,4001,1233,5234
Sachsen,2021,3401,1093,4494
Sachsen,2022,3678,1062,4740
Sachsen,2023,3443,1009,4452
Sachsen,2024,2722,983,3705
Sachsen,2025,1899,826,2725
Sachsen-Anhalt,2015,1896,546,2442
Sachsen-Anhalt,2016,2124,468,2592
Sachsen-Anhalt,2017,2152,662,2814
Sachsen-Anhalt,2018,2250,463,2713
Sachsen-Anhalt,2019,2235,454,2689
Sachsen-Anhalt,2020,2392,749,3141
Sachsen-Anhalt,2021,2133,444,2577
Sachsen-Anhalt,2022,2487,432,2919
Sachsen-Anhalt,2023,2165,443,2608
Sachsen-Anhalt,2024,1368,421,1789
Sachsen-Anhalt,2025,1019,415,1434
Schleswig-Holstein,2015,5413,1168,6581
Schleswig-Holstein,2016,6835,1134,7969
Schleswig-Holstein,2017,6037,1011,7048
Schleswig-Holstein,2018,5253,898,6151
Schleswig-Holstein,2019,5485,913,6398
Schleswig-Holstein,2020,5974,943,6917
Schleswig-Holstein,2021,5459,810,6269
Schleswig-Holstein,2022,5143,870,6013
Schleswig-Holstein,2023,4922,782,5704
Schleswig-Holstein,2024,3538,838,4376
Schleswig-Holstein,2025,2888,726,3614
Thüringen,2015,1883,696,2579
Thüringen,2016,1965,647,2612
Thüringen,2017,1889,683,2572
Thüringen,2018,1950,689,2639
Thüringen,2019,1836,672,2508
Thüringen,2020,2141,784,2925
Thüringen,2021,1734,699,2433
Thüringen,2022,1788,749,2537
Thüringen,2023,1540,666,2206
Thüringen,2024,1193,692,1885
