Postleitzahl,bundesland,group,treated,year,operator_type,anzahl_anlagen,netto_kw,brutto_kw,flaeche_km2,post2023,post2024
21029,Hamburg,HH_grenze,1,2015,organisation,1.0,10.0,10.46,6.453903,0,0
21029,Hamburg,HH_grenze,1,2015,privat,1.0,6.76,6.76,6.453903,0,0
21029,Hamburg,HH_grenze,1,2016,organisation,0.0,0.0,0.0,6.453903,0,0
21029,Hamburg,HH_grenze,1,2016,privat,2.0,35.86,36.7,6.453903,0,0
21029,Hamburg,HH_grenze,1,2017,organisation,0.0,0.0,0.0,6.453903,0,0
21029,Hamburg,HH_grenze,1,2017,privat,4.0,24.6,26.79,6.453903,0,0
21029,Hamburg,HH_grenze,1,2018,organisation,0.0,0.0,0.0,6.453903,0,0
21029,Hamburg,HH_grenze,1,2018,privat,0.0,0.0,0.0,6.453903,0,0
21029,Hamburg,HH_grenze,1,2019,organisation,1.0,28.32,28.32,6.453903,0,0
21029,Hamburg,HH_grenze,1,2019,privat,3.0,22.2,23.48,6.453903,0,0
21029,Hamburg,HH_grenze,1,2020,organisation,3.0,66.42,66.42,6.453903,0,0
21029,Hamburg,HH_grenze,1,2020,privat,6.0,77.27,94.32,6.453903,0,0
21029,Hamburg,HH_grenze,1,2021,organisation,3.0,114.75,133.9,6.453903,0,0
21029,Hamburg,HH_grenze,1,2021,privat,7.0,62.14,73.42,6.453903,0,0
21029,Hamburg,HH_grenze,1,2022,organisation,2.0,38.75,39.980000000000004,6.453903,0,0
21029,Hamburg,HH_grenze,1,2022,privat,11.0,87.13,96.41,6.453903,0,0
21029,Hamburg,HH_grenze,1,2023,organisation,4.0,862.1700000000001,863.5,6.453903,1,0
21029,Hamburg,HH_grenze,1,2023,privat,35.0,291.136,343.935,6.453903,1,0
21029,Hamburg,HH_grenze,1,2024,organisation,1.0,29.99,33.0,6.453903,1,1
21029,Hamburg,HH_grenze,1,2024,privat,44.0,327.486,358.055,6.453903,1,1
21029,Hamburg,HH_grenze,1,2025,organisation,4.0,175.8,189.11,6.453903,1,1
21029,Hamburg,HH_grenze,1,2025,privat,25.0,202.58,230.105,6.453903,1,1
21031,Hamburg,HH_grenze,1,2015,organisation,0.0,0.0,0.0,5.545359,0,0
21031,Hamburg,HH_grenze,1,2015,privat,2.0,16.18,16.18,5.545359,0,0
21031,Hamburg,HH_grenze,1,2016,organisation,1.0,9.2,9.86,5.545359,0,0
21031,Hamburg,HH_grenze,1,2016,privat,2.0,11.61,11.89,5.545359,0,0
21031,Hamburg,HH_grenze,1,2017,organisation,0.0,0.0,0.0,5.545359,0,0
21031,Hamburg,HH_grenze,1,2017,privat,1.0,5.5,5.7,5.545359,0,0
21031,Hamburg,HH_grenze,1,2018,organisation,1.0,165.0,172.8,5.545359,0,0
21031,Hamburg,HH_grenze,1,2018,privat,0.0,0.0,0.0,5.545359,0,0
21031,Hamburg,HH_grenze,1,2019,organisation,1.0,13.8,16.0,5.545359,0,0
21031,Hamburg,HH_grenze,1,2019,privat,3.0,35.32,39.9,5.545359,0,0
21031,Hamburg,HH_grenze,1,2020,organisation,2.0,16.36,19.259999999999998,5.545359,0,0
21031,Hamburg,HH_grenze,1,2020,privat,6.0,41.94,45.370000000000005,5.545359,0,0
21031,Hamburg,HH_grenze,1,2021,organisation,0.0,0.0,0.0,5.545359,0,0
21031,Hamburg,HH_grenze,1,2021,privat,6.0,58.589999999999996,64.86,5.545359,0,0
21031,Hamburg,HH_grenze,1,2022,organisation,0.0,0.0,0.0,5.545359,0,0
21031,Hamburg,HH_grenze,1,2022,privat,15.0,132.16,148.57,5.545359,0,0
21031,Hamburg,HH_grenze,1,2023,organisation,1.0,90.0,95.99,5.545359,1,0
21031,Hamburg,HH_grenze,1,2023,privat,33.0,253.2,291.08,5.545359,1,0
21031,Hamburg,HH_grenze,1,2024,organisation,4.0,165.09,181.48,5.545359,1,1
21031,Hamburg,HH_grenze,1,2024,privat,33.0,272.615,302.625,5.545359,1,1
21031,Hamburg,HH_grenze,1,2025,organisation,6.0,396.8,439.25,5.545359,1,1
21031,Hamburg,HH_grenze,1,2025,privat,28.0,204.23000000000002,231.31,5.545359,1,1
21033,Hamburg,HH_grenze,1,2015,organisation,0.0,0.0,0.0,13.349038,0,0
21033,Hamburg,HH_grenze,1,2015,privat,0.0,0.0,0.0,13.349038,0,0
21033,Hamburg,HH_grenze,1,2016,organisation,0.0,0.0,0.0,13.349038,0,0
21033,Hamburg,HH_grenze,1,2016,privat,2.0,16.33,17.369999999999997,13.349038,0,0
21033,Hamburg,HH_grenze,1,2017,organisation,0.0,0.0,0.0,13.349038,0,0
21033,Hamburg,HH_grenze,1,2017,privat,2.0,6.300000000000001,6.300000000000001,13.349038,0,0
21033,Hamburg,HH_grenze,1,2018,organisation,1.0,4.48,4.48,13.349038,0,0
21033,Hamburg,HH_grenze,1,2018,privat,3.0,12.68,14.56,13.349038,0,0
21033,Hamburg,HH_grenze,1,2019,organisation,2.0,137.5,172.79999999999998,13.349038,0,0
21033,Hamburg,HH_grenze,1,2019,privat,1.0,4.6,4.8,13.349038,0,0
21033,Hamburg,HH_grenze,1,2020,organisation,1.0,33.55,33.55,13.349038,0,0
21033,Hamburg,HH_grenze,1,2020,privat,4.0,29.22,32.71,13.349038,0,0
21033,Hamburg,HH_grenze,1,2021,organisation,0.0,0.0,0.0,13.349038,0,0
21033,Hamburg,HH_grenze,1,2021,privat,8.0,51.405,57.6,13.349038,0,0
21033,Hamburg,HH_grenze,1,2022,organisation,1.0,12.39,13.65,13.349038,0,0
21033,Hamburg,HH_grenze,1,2022,privat,12.0,82.47800000000001,96.58,13.349038,0,0
21033,Hamburg,HH_grenze,1,2023,organisation,2.0,23.6,27.22,13.349038,1,0
21033,Hamburg,HH_grenze,1,2023,privat,35.0,257.204,274.75,13.349038,1,0
21033,Hamburg,HH_grenze,1,2024,organisation,1.0,99.7,99.7,13.349038,1,1
21033,Hamburg,HH_grenze,1,2024,privat,36.0,315.454,355.68,13.349038,1,1
21033,Hamburg,HH_grenze,1,2025,organisation,4.0,104.0,121.64,13.349038,1,1
21033,Hamburg,HH_grenze,1,2025,privat,41.0,368.93,418.065,13.349038,1,1
21035,Hamburg,HH_grenze,1,2015,organisation,2.0,129.87,134.74,10.063058,0,0
21035,Hamburg,HH_grenze,1,2015,privat,2.0,10.649999999999999,11.18,10.063058,0,0
21035,Hamburg,HH_grenze,1,2016,organisation,1.0,9.88,9.88,10.063058,0,0
21035,Hamburg,HH_grenze,1,2016,privat,2.0,4.02,4.02,10.063058,0,0
