Postleitzahl,year,bundesland,group,treated,operator_type,anzahl_anlagen,netto_kw,brutto_kw,flaeche_km2,post2023,post2024,post_t1,post_t2,treat_x_t1,treat_x_t2,outcome,treat_x_2015,treat_x_2016,treat_x_2017,treat_x_2018,treat_x_2019,treat_x_2020,treat_x_2021,treat_x_2023,treat_x_2024,treat_x_2025
21029,2015,Hamburg,HH_grenze,1,privat,1.0,6.76,6.76,6.453903,0,0,0,0,0,0,1.0474281996491115,1,0,0,0,0,0,0,0,0,0
21029,2016,Hamburg,HH_grenze,1,privat,2.0,35.86,36.7,6.453903,0,0,0,0,0,0,5.55632769813863,0,1,0,0,0,0,0,0,0,0
21029,2017,Hamburg,HH_grenze,1,privat,4.0,24.6,26.79,6.453903,0,0,0,0,0,0,3.811646998723098,0,0,1,0,0,0,0,0,0,0
21029,2018,Hamburg,HH_grenze,1,privat,0.0,0.0,0.0,6.453903,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
21029,2019,Hamburg,HH_grenze,1,privat,3.0,22.2,23.48,6.453903,0,0,0,0,0,0,3.439778998847674,0,0,0,0,1,0,0,0,0,0
21029,2020,Hamburg,HH_grenze,1,privat,6.0,77.27,94.32,6.453903,0,0,0,0,0,0,11.972600145989178,0,0,0,0,0,1,0,0,0,0
21029,2021,Hamburg,HH_grenze,1,privat,7.0,62.14,73.42,6.453903,0,0,0,0,0,0,9.628282296774525,0,0,0,0,0,0,1,0,0,0
21029,2022,Hamburg,HH_grenze,1,privat,11.0,87.13,96.41,6.453903,0,0,0,0,0,0,13.500357845477378,0,0,0,0,0,0,0,0,0,0
21029,2023,Hamburg,HH_grenze,1,privat,35.0,291.136,343.935,6.453903,1,0,1,0,1,0,45.11006750488813,0,0,0,0,0,0,0,1,0,0
21029,2024,Hamburg,HH_grenze,1,privat,44.0,327.486,358.055,6.453903,1,1,1,1,1,1,50.74231825300132,0,0,0,0,0,0,0,0,1,0
21029,2025,Hamburg,HH_grenze,1,privat,25.0,202.58,230.105,6.453903,1,1,1,1,1,1,31.388758089484767,0,0,0,0,0,0,0,0,0,1
21031,2015,Hamburg,HH_grenze,1,privat,2.0,16.18,16.18,5.545359,0,0,0,0,0,0,2.9177551895197404,1,0,0,0,0,0,0,0,0,0
21031,2016,Hamburg,HH_grenze,1,privat,2.0,11.61,11.89,5.545359,0,0,0,0,0,0,2.0936426298099002,0,1,0,0,0,0,0,0,0,0
21031,2017,Hamburg,HH_grenze,1,privat,1.0,5.5,5.7,5.545359,0,0,0,0,0,0,0.991820367265672,0,0,1,0,0,0,0,0,0,0
21031,2018,Hamburg,HH_grenze,1,privat,0.0,0.0,0.0,5.545359,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
21031,2019,Hamburg,HH_grenze,1,privat,3.0,35.32,39.9,5.545359,0,0,0,0,0,0,6.369290067604279,0,0,0,0,1,0,0,0,0,0
21031,2020,Hamburg,HH_grenze,1,privat,6.0,41.94,45.370000000000005,5.545359,0,0,0,0,0,0,7.563081127840415,0,0,0,0,0,1,0,0,0,0
21031,2021,Hamburg,HH_grenze,1,privat,6.0,58.59,64.86,5.545359,0,0,0,0,0,0,10.565591876017404,0,0,0,0,0,0,1,0,0,0
21031,2022,Hamburg,HH_grenze,1,privat,15.0,132.16,148.57,5.545359,0,0,0,0,0,0,23.832541770514766,0,0,0,0,0,0,0,0,0,0
21031,2023,Hamburg,HH_grenze,1,privat,33.0,253.2,291.08,5.545359,1,0,1,0,1,0,45.65980308939421,0,0,0,0,0,0,0,1,0,0
21031,2024,Hamburg,HH_grenze,1,privat,33.0,272.615,302.625,5.545359,1,1,1,1,1,1,49.160928985842034,0,0,0,0,0,0,0,0,1,0
21031,2025,Hamburg,HH_grenze,1,privat,28.0,204.23,231.31,5.545359,1,1,1,1,1,1,36.8289952012124,0,0,0,0,0,0,0,0,0,1
21037,2015,Hamburg,HH_grenze,1,privat,5.0,30.67,32.47,74.305658,0,0,0,0,0,0,0.4127545711256605,1,0,0,0,0,0,0,0,0,0
21037,2016,Hamburg,HH_grenze,1,privat,11.0,64.125,71.745,74.305658,0,0,0,0,0,0,0.8629894644092918,0,1,0,0,0,0,0,0,0,0
21037,2017,Hamburg,HH_grenze,1,privat,5.0,26.700000000000003,28.09,74.305658,0,0,0,0,0,0,0.35932660740316713,0,0,1,0,0,0,0,0,0,0
21037,2018,Hamburg,HH_grenze,1,privat,6.0,33.36,35.879999999999995,74.305658,0,0,0,0,0,0,0.4489563903733953,0,0,0,1,0,0,0,0,0,0
21037,2019,Hamburg,HH_grenze,1,privat,6.0,36.75,40.73,74.305658,0,0,0,0,0,0,0.4945787573807637,0,0,0,0,1,0,0,0,0,0
21037,2020,Hamburg,HH_grenze,1,privat,30.0,246.73,272.98,74.305658,0,0,0,0,0,0,3.3204739267634236,0,0,0,0,0,1,0,0,0,0
21037,2021,Hamburg,HH_grenze,1,privat,28.0,260.135,287.395,74.305658,0,0,0,0,0,0,3.500877416360407,0,0,0,0,0,0,1,0,0,0
21037,2022,Hamburg,HH_grenze,1,privat,69.0,600.8050000000001,656.275,74.305658,0,0,0,0,0,0,8.08558885246666,0,0,0,0,0,0,0,0,0,0
21037,2023,Hamburg,HH_grenze,1,privat,186.0,1770.361,1988.07,74.305658,1,0,1,0,1,0,23.825386217560986,0,0,0,0,0,0,0,1,0,0
21037,2024,Hamburg,HH_grenze,1,privat,162.0,1643.583,1848.118,74.305658,1,1,1,1,1,1,22.119217354888374,0,0,0,0,0,0,0,0,1,0
21037,2025,Hamburg,HH_grenze,1,privat,128.0,1336.595,1467.845,74.305658,1,1,1,1,1,1,17.98779576112495,0,0,0,0,0,0,0,0,0,1
21075,2015,Hamburg,HH_grenze,1,privat,1.0,2.01,2.01,8.300639,0,0,0,0,0,0,0.2421500320637965,1,0,0,0,0,0,0,0,0,0
