bundesland,year,solar_privat_y,completions_y,rate_privat_y,time_id
Bayern,2015,11206,23074.0,0.48565484961428446,1
Bayern,2016,11712,21583.0,0.5426493073252097,2
Bayern,2017,15878,25166.0,0.6309306206786934,3
Bayern,2018,17533,24012.0,0.730176578377478,4
Bayern,2019,24717,23875.0,1.0352670157068062,5
Bayern,2020,42773,25449.0,1.6807340170537153,6
Bayern,2021,49626,22808.0,2.175815503332164,7
Bayern,2022,65753,23261.0,2.8267486350543827,8
Bayern,2023,158823,23459.0,6.770237435525811,9
Bayern,2024,124982,18572.0,6.729592935601982,10
Bayern,2025,80889,15206.0,5.319544916480337,11
Brandenburg,2015,1343,5519.0,0.2433411849972821,1
Brandenburg,2016,1540,6159.0,0.2500405910050333,2
Brandenburg,2017,1880,5643.0,0.3331561226298068,3
Brandenburg,2018,2206,5859.0,0.3765147636115378,4
Brandenburg,2019,3370,5714.0,0.5897794889744488,5
Brandenburg,2020,5524,5545.0,0.9962128043282237,6
Brandenburg,2021,6544,5842.0,1.1201643272851762,7
Brandenburg,2022,10859,5176.0,2.097952086553323,8
Brandenburg,2023,25528,5517.0,4.627152437919159,9
Brandenburg,2024,19424,4351.0,4.464261089404735,10
Brandenburg,2025,12600,3154.0,3.9949270767279645,11
Bremen,2015,47,566.0,0.08303886925795052,1
Bremen,2016,47,528.0,0.08901515151515152,2
Bremen,2017,50,655.0,0.07633587786259542,3
Bremen,2018,65,479.0,0.13569937369519833,4
Bremen,2019,107,387.0,0.27648578811369506,5
Bremen,2020,253,470.0,0.5382978723404256,6
Bremen,2021,265,298.0,0.889261744966443,7
Bremen,2022,519,293.0,1.7713310580204777,8
Bremen,2023,1608,248.0,6.483870967741935,9
Bremen,2024,2257,254.0,8.885826771653543,10
Bremen,2025,1540,192.0,8.020833333333334,11
Hamburg,2015,118,1760.0,0.06704545454545455,1
Hamburg,2016,164,1438.0,0.11404728789986092,2
Hamburg,2017,187,1700.0,0.11,3
Hamburg,2018,187,1882.0,0.09936238044633369,4
Hamburg,2019,281,1900.0,0.14789473684210527,5
Hamburg,2020,518,1624.0,0.31896551724137934,6
Hamburg,2021,776,1332.0,0.5825825825825826,7
Hamburg,2022,1188,1476.0,0.8048780487804879,8
Hamburg,2023,3593,1092.0,3.29029304029304,9
Hamburg,2024,3496,966.0,3.619047619047619,10
Hamburg,2025,3370,709.0,4.753173483779972,11
Hessen,2015,2572,5853.0,0.43943276951990434,1
Hessen,2016,2739,6425.0,0.4263035019455253,2
Hessen,2017,3937,6838.0,0.5757531441942089,3
Hessen,2018,4075,6147.0,0.6629250040670246,4
Hessen,2019,5865,6166.0,0.9511839117742459,5
Hessen,2020,10312,6713.0,1.5361239386265455,6
Hessen,2021,13247,6273.0,2.111748764546469,7
Hessen,2022,19557,6539.0,2.9908242850588773,8
Hessen,2023,47729,5900.0,8.089661016949153,9
Hessen,2024,42787,4638.0,9.22531263475636,10
Hessen,2025,29072,3423.0,8.493134677183757,11
Mecklenburg-Vorpommern,2015,443,2372.0,0.18676222596964587,1
Mecklenburg-Vorpommern,2016,457,2392.0,0.19105351170568563,2
Mecklenburg-Vorpommern,2017,652,2305.0,0.2828633405639913,3
Mecklenburg-Vorpommern,2018,702,2528.0,0.2776898734177215,4
Mecklenburg-Vorpommern,2019,1137,2445.0,0.46503067484662575,5
Mecklenburg-Vorpommern,2020,1903,3449.0,0.5517541316323572,6
Mecklenburg-Vorpommern,2021,2441,1976.0,1.235323886639676,7
Mecklenburg-Vorpommern,2022,5065,2273.0,2.2283326000879895,8
Mecklenburg-Vorpommern,2023,13122,2058.0,6.376093294460642,9
Mecklenburg-Vorpommern,2024,9188,1954.0,4.702149437052201,10
Mecklenburg-Vorpommern,2025,5798,1350.0,4.294814814814814,11
Niedersachsen,2015,3361,13552.0,0.2480076741440378,1
Niedersachsen,2016,3496,15355.0,0.2276782806903289,2
Niedersachsen,2017,4644,13937.0,0.33321374757838845,3
Niedersachsen,2018,5071,13522.0,0.3750184883892915,4
Niedersachsen,2019,8568,14028.0,0.6107784431137725,5
Niedersachsen,2020,15408,14728.0,1.0461705594785442,6
Niedersachsen,2021,22194,13719.0,1.6177563962387929,7
Niedersachsen,2022,37248,14202.0,2.6227291930713985,8
Niedersachsen,2023,100422,11111.0,9.038070380703807,9
Niedersachsen,2024,74308,8738.0,8.504005493247883,10
Niedersachsen,2025,51759,6840.0,7.567105263157894,11
Nordrhein-Westfalen,2015,7125,16686.0,0.4270046745774901,1
Nordrhein-Westfalen,2016,7364,17415.0,0.42285386161355154,2
Nordrhein-Westfalen,2017,9235,17266.0,0.5348662110506197,3
Nordrhein-Westfalen,2018,9972,16536.0,0.6030478955007257,4
Nordrhein-Westfalen,2019,17224,17389.0,0.990511242739663,5
Nordrhein-Westfalen,2020,30981,17021.0,1.8201633276540743,6
